2024-10-20 16:32:19,536 | INFO  | OMAudit | user=hadoop | ip=172.18.0.9 | op=CREATE_VOLUME {admin=hadoop, owner=hadoop, volume=volume1, creationTime=1729441939451, modificationTime=1729441939451, quotaInBytes=-1, quotaInNamespace=-1, usedNamespace=0, objectID=-9223372036854775552, updateID=1, Transaction=1} | ret=SUCCESS |  
2024-10-20 16:32:22,241 | INFO  | OMAudit | user=hadoop | ip=172.18.0.9 | op=CREATE_BUCKET {volume=volume1, bucket=bucket1, bucketLayout=FILE_SYSTEM_OPTIMIZED, gdprEnabled=null, acls=[user:hadoop:a[ACCESS], group:hadoop:a[ACCESS]], isVersionEnabled=false, storageType=DISK, creationTime=1729441942207, bucketEncryptionKey=null, modificationTime=1729441942207, usedBytes=0, usedNamespace=0, owner=hadoop, replicationType=EC, replicationConfig=rs-3-2-1024k, quotaInBytes=-1, quotaInNamespace=-1, Transaction=3} | ret=SUCCESS |  
2024-10-20 16:33:48,168 | INFO  | OMAudit | user=hadoop | ip=172.18.0.9 | op=ALLOCATE_KEY {volume=volume1, bucket=bucket1, key=file-0.txt, dataSize=104857600, replicationType=EC, replicationConfig=rs-3-2-1048576, Transaction=5} | ret=SUCCESS |  
2024-10-20 16:33:52,174 | INFO  | OMAudit | user=hadoop | ip=172.18.0.9 | op=COMMIT_KEY {volume=volume1, bucket=bucket1, key=file-0.txt, dataSize=104857600, replicationType=EC, replicationConfig=rs-3-2-1048576, Transaction=7} | ret=SUCCESS |  
2024-10-20 16:34:00,480 | INFO  | OMAudit | user=hadoop | ip=172.18.0.9 | op=ALLOCATE_KEY {volume=volume1, bucket=bucket1, key=file-1.txt, dataSize=104857600, replicationType=EC, replicationConfig=rs-3-2-1048576, Transaction=9} | ret=SUCCESS |  
2024-10-20 16:34:04,010 | INFO  | OMAudit | user=hadoop | ip=172.18.0.9 | op=COMMIT_KEY {volume=volume1, bucket=bucket1, key=file-1.txt, dataSize=104857600, replicationType=EC, replicationConfig=rs-3-2-1048576, Transaction=11} | ret=SUCCESS |  
2024-10-20 16:34:11,981 | INFO  | OMAudit | user=hadoop | ip=172.18.0.9 | op=ALLOCATE_KEY {volume=volume1, bucket=bucket1, key=file-2.txt, dataSize=104857600, replicationType=EC, replicationConfig=rs-3-2-1048576, Transaction=13} | ret=SUCCESS |  
2024-10-20 16:34:16,290 | INFO  | OMAudit | user=hadoop | ip=172.18.0.9 | op=COMMIT_KEY {volume=volume1, bucket=bucket1, key=file-2.txt, dataSize=104857600, replicationType=EC, replicationConfig=rs-3-2-1048576, Transaction=15} | ret=SUCCESS |  
2024-10-20 16:34:24,213 | INFO  | OMAudit | user=hadoop | ip=172.18.0.9 | op=ALLOCATE_KEY {volume=volume1, bucket=bucket1, key=file-3.txt, dataSize=104857600, replicationType=EC, replicationConfig=rs-3-2-1048576, Transaction=17} | ret=SUCCESS |  
2024-10-20 16:34:27,097 | INFO  | OMAudit | user=hadoop | ip=172.18.0.9 | op=COMMIT_KEY {volume=volume1, bucket=bucket1, key=file-3.txt, dataSize=104857600, replicationType=EC, replicationConfig=rs-3-2-1048576, Transaction=19} | ret=SUCCESS |  
2024-10-20 16:34:34,851 | INFO  | OMAudit | user=hadoop | ip=172.18.0.9 | op=ALLOCATE_KEY {volume=volume1, bucket=bucket1, key=file-4.txt, dataSize=104857600, replicationType=EC, replicationConfig=rs-3-2-1048576, Transaction=21} | ret=SUCCESS |  
2024-10-20 16:34:37,580 | INFO  | OMAudit | user=hadoop | ip=172.18.0.9 | op=COMMIT_KEY {volume=volume1, bucket=bucket1, key=file-4.txt, dataSize=104857600, replicationType=EC, replicationConfig=rs-3-2-1048576, Transaction=23} | ret=SUCCESS |  
2024-10-20 16:34:45,049 | INFO  | OMAudit | user=hadoop | ip=172.18.0.9 | op=ALLOCATE_KEY {volume=volume1, bucket=bucket1, key=file-5.txt, dataSize=104857600, replicationType=EC, replicationConfig=rs-3-2-1048576, Transaction=25} | ret=SUCCESS |  
2024-10-20 16:34:47,651 | INFO  | OMAudit | user=hadoop | ip=172.18.0.9 | op=COMMIT_KEY {volume=volume1, bucket=bucket1, key=file-5.txt, dataSize=104857600, replicationType=EC, replicationConfig=rs-3-2-1048576, Transaction=27} | ret=SUCCESS |  
2024-10-20 16:34:55,159 | INFO  | OMAudit | user=hadoop | ip=172.18.0.9 | op=ALLOCATE_KEY {volume=volume1, bucket=bucket1, key=file-6.txt, dataSize=104857600, replicationType=EC, replicationConfig=rs-3-2-1048576, Transaction=29} | ret=SUCCESS |  
2024-10-20 16:34:58,356 | INFO  | OMAudit | user=hadoop | ip=172.18.0.9 | op=COMMIT_KEY {volume=volume1, bucket=bucket1, key=file-6.txt, dataSize=104857600, replicationType=EC, replicationConfig=rs-3-2-1048576, Transaction=31} | ret=SUCCESS |  
