2025-07-25 07:59:08,857 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=GET_VERSION null | ret=SUCCESS |  
2025-07-25 07:59:08,854 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=GET_VERSION null | ret=SUCCESS |  
2025-07-25 07:59:08,869 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=GET_VERSION null | ret=SUCCESS |  
2025-07-25 07:59:10,106 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=REGISTER {datanodeDetails=28ea13cf-18cd-4b4c-ba91-edcd659659dc(2448614370e8/172.25.0.103)} | ret=SUCCESS |  
2025-07-25 07:59:10,416 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=REGISTER {datanodeDetails=932a0c8c-a3f9-43ff-b8db-0e3559e6ce5e(e1f2254a708e/172.25.0.104)} | ret=SUCCESS |  
2025-07-25 07:59:10,672 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=REGISTER {datanodeDetails=8da95644-c918-4437-ab30-8295d59b1233(027dc873e491/172.25.0.102)} | ret=SUCCESS |  
2025-07-25 07:59:11,927 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=28ea13cf-18cd-4b4c-ba91-edcd659659dc, command=[]} | ret=SUCCESS |  
2025-07-25 07:59:12,376 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=932a0c8c-a3f9-43ff-b8db-0e3559e6ce5e, command=[]} | ret=SUCCESS |  
2025-07-25 07:59:12,650 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=8da95644-c918-4437-ab30-8295d59b1233, command=[]} | ret=SUCCESS |  
2025-07-25 07:59:13,317 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=28ea13cf-18cd-4b4c-ba91-edcd659659dc, command=[]} | ret=SUCCESS |  
2025-07-25 07:59:13,660 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=28ea13cf-18cd-4b4c-ba91-edcd659659dc, command=[]} | ret=SUCCESS |  
2025-07-25 07:59:14,217 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=932a0c8c-a3f9-43ff-b8db-0e3559e6ce5e, command=[]} | ret=SUCCESS |  
2025-07-25 07:59:14,447 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=8da95644-c918-4437-ab30-8295d59b1233, command=[]} | ret=SUCCESS |  
2025-07-25 07:59:14,698 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=932a0c8c-a3f9-43ff-b8db-0e3559e6ce5e, command=[]} | ret=SUCCESS |  
2025-07-25 07:59:14,752 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=8da95644-c918-4437-ab30-8295d59b1233, command=[]} | ret=SUCCESS |  
2025-07-25 07:59:16,675 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=SEND_HEARTBEAT {datanodeUUID=8da95644-c918-4437-ab30-8295d59b1233, command=[]} | ret=SUCCESS |  
2025-07-25 07:59:16,686 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=28ea13cf-18cd-4b4c-ba91-edcd659659dc, command=[]} | ret=SUCCESS |  
2025-07-25 07:59:16,745 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {datanodeUUID=932a0c8c-a3f9-43ff-b8db-0e3559e6ce5e, command=[]} | ret=SUCCESS |  
2025-07-25 07:59:18,759 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {datanodeUUID=28ea13cf-18cd-4b4c-ba91-edcd659659dc, command=[]} | ret=SUCCESS |  
