2026-03-10 14:41:42,662 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=GET_VERSION {} | ret=SUCCESS |  
2026-03-10 14:41:43,077 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=GET_VERSION {} | ret=SUCCESS |  
2026-03-10 14:41:43,961 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=GET_VERSION {} | ret=SUCCESS |  
2026-03-10 14:41:44,716 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=REGISTER {"datanodeDetails":"fc1941d3-51e2-42e4-9fc7-729c07ebd2d4(32158e487574/172.25.0.103)"} | ret=SUCCESS |  
2026-03-10 14:41:44,716 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=REGISTER {"datanodeDetails":"c4d7eb7b-b0ea-4e58-841d-8fd3aa44b0ef(b9a6e89c83e8/172.25.0.104)"} | ret=SUCCESS |  
2026-03-10 14:41:45,452 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.102 | op=REGISTER {"datanodeDetails":"98ef1a78-60b2-4339-bad2-b58f8038295c(6b02fbfa2461/172.25.0.102)"} | ret=SUCCESS |  
2026-03-10 14:41:46,283 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {"datanodeUUID":"fc1941d3-51e2-42e4-9fc7-729c07ebd2d4","command":"[]"} | ret=SUCCESS |  
2026-03-10 14:41:46,286 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {"datanodeUUID":"c4d7eb7b-b0ea-4e58-841d-8fd3aa44b0ef","command":"[]"} | ret=SUCCESS |  
2026-03-10 14:41:46,637 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {"datanodeUUID":"fc1941d3-51e2-42e4-9fc7-729c07ebd2d4","command":"[]"} | ret=SUCCESS |  
2026-03-10 14:41:46,642 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.104 | op=SEND_HEARTBEAT {"datanodeUUID":"c4d7eb7b-b0ea-4e58-841d-8fd3aa44b0ef","command":"[]"} | ret=SUCCESS |  
2026-03-10 14:41:46,676 | INFO  | SCMAudit | user=dn/dn@EXAMPLE.COM | ip=172.25.0.103 | op=SEND_HEARTBEAT {"datanodeUUID":"fc1941d3-51e2-42e4-9fc7-729c07ebd2d4","command":"[]"} | ret=SUCCESS |  
